"y";"x1";"x2";"x3";"x4";"x5"
3,73881;1,13;4,03;2,04;3,17;7,18
1,49177;1,87;3,43;3,95;5,04;6,57
6,07249;2,49;4,62;3,69;5,98;7,76
-1,46158;1,26;1,66;3,81;3,66;5,74
2,83862;2,07;2,09;4,34;4,66;7,16
-1,99237;1,32;4,93;4,52;3,17;5,1
8,11948;1,8;1,22;1,81;4,52;8,85
3,78738;2,64;2,34;4,92;5,91;7,14
1,8803;1,93;2,93;4,1;5,36;6,82
8,20402;2,74;2,86;4,01;6,38;8,67
5,43074;1,29;3,04;0,96;3,81;8,5
2,51739;2,68;1,87;4,96;5,95;7,37
2,72225;3,11;2,62;6,62;7,13;6,71
4,34186;2,09;4,29;3,1;5,46;7,99
0,49192;2,27;1,71;5,09;5,28;6,47
6,61802;2,04;1,67;2,78;5,13;8,08
-1,17922;1,91;2,76;6,08;4,36;4,94
-1,3968;1,55;2,03;4,76;4;5,95
3,30373;1,68;3,18;2,03;4,15;7,63
0,3428;1,86;4,23;4,37;5,08;6,29
2,36022;1,81;4,08;4,1;4,12;6,59
2,85782;2,85;2,13;6,14;7,01;6,65
4,27694;2,51;4,86;4,28;6,25;7,45
4,10581;1,82;4,37;1,98;4,85;8,78
1,48812;1,96;3,64;3,68;5,12;7,28
4,26214;2,11;4,71;5,02;5,15;6,35
2,15685;1,15;2,01;1,99;3,73;7,31
1,50903;2,62;3,41;5,83;6,48;6,79
2,22069;2,47;2,99;5,32;5,99;6,83
5,24645;2,1;3,41;3,16;5,48;7,85
1,88412;2,03;2,15;4,34;4,82;6,87
6,59681;2;4,75;2,62;4,82;8,54
2,3944;2,75;4,56;5,81;6,13;6,36
3,46928;1,39;3,84;2,62;3,55;7,46
2,68119;2,26;1,98;4,31;5,14;6,59
4,55245;2,03;3,39;3,78;5,39;6,99
1,48999;1,6;2,72;4,07;4,61;5,83
-0,92638;2,09;4,1;6,15;5,12;5,11
5,58829;1,98;3,15;2,58;5,06;7,97
1,70439;2,42;2,53;6,19;5,85;5,69
0,37642;2,79;4,73;6,94;6,76;6,13
5,19771;2,42;1,08;4,85;5,78;6,98
4,27272;2,44;2,82;4,48;6,05;7,44
-0,22439;1,87;4,09;5,28;4,53;5,91
1,73746;2,28;1,59;5,15;5,3;6,5
3,97339;1,44;1,23;2,47;3,66;7,36
-0,60094;2,53;2,49;6,8;6,47;5,21
1,38426;1,12;1,18;2,19;3,14;7,04
2,57913;2,2;1,96;4,43;5,37;6,89
2,54136;1,88;4,28;3,65;4,29;6,8
3,34111;1,57;4,42;3,16;4,29;6,83
11,14584;2,53;2,79;2,5;6,37;9,83
-1,51763;2,28;4,36;6,21;5,9;5,32
1,59972;2,02;4,9;4,48;5,42;6,33
1,41904;2,06;3,36;4,47;4,87;6,69
4,56185;1,87;3,98;2,71;4,36;7,79
5,20329;1,44;3,22;1,62;3,83;8,06
2,9328;1,63;4,3;2,41;4,32;7,72
2,47609;2,67;1,03;6,62;5,9;5,98
1,93358;2,05;4,99;4,09;5,33;7,11
