"","x1","x2","x3","x4","x5","x6"
"1",1.915,5.876,2.502,6.77,15.336,11.323
"2",0.444,3.213,2.837,5.726,9.3,5.67
"3",2.916,3.007,0.54,1.179,8.562,-0.776
"4",1.148,5.179,0.332,4.522,13.512,3.949
"5",9.869,4.981,1.479,5.148,12.614,11.637
"6",0.981,4.054,0.378,2.761,10.177,15.123
"7",2.626,4.714,0.469,5.365,13.079,12.973
"8",6.957,3.35,2.167,4.625,10.338,4.187
"9",3.369,5.134,1.906,5.923,14.807,7.592
"10",1.914,4.269,0.374,6.637,12.087,9.678
"11",3.173,5.838,0.825,6.647,15.159,-0.384
"12",5.558,NA,1.675,6.179,13.466,4.047
"13",5.504,3.256,2.54,5.828,10.628,-0.295
"14",7.458,4.87,4.944,6.658,13.689,-4.651
"15",0.985,3.793,0.482,NA,10.791,14.231
"16",3.142,3.965,0.528,6.003,10.213,1.842
"17",10.59,5.364,0.438,6.401,14.51,13.011
"18",1.374,5.707,0.08,3.316,13.653,-0.797
"19",3.833,5.208,0.547,4.916,13.025,6.731
"20",3.725,4.226,0.38,5.189,12.159,2.915
"21",5.494,5.614,0.232,5.815,13.73,0.045
"22",2.361,4.81,0.47,6.207,11.753,2.107
"23",4.544,3.342,1.286,5.869,10.678,0.737
"24",2.546,3.775,1.004,5.401,12.517,2.826
"25",1.669,5.852,0.359,6.033,14.232,-10.108
"26",3.224,3.319,2.441,6.902,9.792,3.658
"27",0.104,5.914,0.047,5.524,14.551,4.735
"28",0.388,4.105,0.153,6.303,12.65,7.814
"29",4.709,5.416,0.334,6.984,13.29,-0.421
"30",4.918,3.918,4.291,4.587,10.059,NA
"31",0.39,3.925,0.693,6.212,11.468,-4.52
"32",0.815,3.638,0.267,5.044,9.656,-6.297
"33",3.751,5.536,2.373,6.136,15.342,9.5
"34",5.776,5.052,2.563,5.311,13.35,0.955
"35",1.528,5.519,1.609,2.762,13.842,4.525
"36",3.254,4.549,0.703,5.515,10.992,3.275
"37",3.434,3.528,0.236,2.612,9.368,-0.672
"38",4.395,3.837,1.546,6.919,10.48,-6.952
"39",9.508,4.511,1.931,5.355,11.519,0.712
"40",0.788,5.926,0.905,3.215,13.932,3.996
"41",3.461,3.355,1.165,4.46,8.495,-1.183
"42",4.597,3.568,0.964,4.104,9.604,11.424
"43",12.55,3.529,0.491,6.066,9.538,2.403
"44",6.795,3.114,0.029,3.423,9.239,1.055
"45",0.945,4.812,2.241,6.836,11.986,14.255
"46",5.997,3.523,1.788,5.019,10.172,2.583
"47",10.423,3.852,0.669,4.56,9.6,-8.073
"48",4.074,3.57,0.772,6.097,10.251,2.591
"49",2.087,4.834,0.613,4.571,12.887,2.19
"50",7.944,5.456,1.906,5.747,14.698,4.66
"51",2.948,4.416,0.021,6.663,12.404,1.631
"52",1.011,5.497,0.58,5.212,14.483,-4.245
"53",2.743,4.869,0.095,1.882,12.8,0.903
"54",4.89,5.674,2.584,3.068,15.309,2.141
"55",2.007,5.883,1.411,5.514,14.029,2.869
"56",5.624,5.295,0.622,6.869,13.075,-0.914
"57",3.418,3.423,0.992,6.019,9.925,0.577
"58",2.529,4.335,0.574,3.746,10.453,3.477
"59",0.931,4.104,0.331,5.462,11.747,3.991
"60",7.36,4.892,0.979,5.781,13.068,1.825
"61",3.564,5.47,0.97,6.162,15.295,8.138
"62",0.144,3.231,0.515,6.338,10.144,-2.323
"63",10.72,5.417,0.578,4.594,11.591,2.319
"64",2.384,3.076,0.043,6.493,8.376,6.365
"65",NA,5.173,1.404,3.998,13.592,-2.37
"66",11.421,3.174,0.905,0.211,10.244,2.397
"67",1.172,4.966,0.318,5.494,13.194,0.32
"68",5.528,3.82,3.074,0.894,11.204,5.956
"69",1.977,4.122,1.065,6.613,11.383,1.737
"70",2.725,4.319,0.274,3.894,12.22,0.885
"71",6.602,4.297,0.73,6.976,10.595,6.224
"72",0.798,4.701,0.12,6.951,11.213,6.064
"73",8.992,3.275,0.383,1.682,9.201,-4.659
"74",5.704,3.171,0.562,6.436,10.28,0.733
"75",4.133,5.295,0.317,6.537,12.888,-4.692
"76",3.95,3.728,1.429,6.732,8.947,-3.253
"77",6.227,3.701,0.536,5.87,10.826,14.184
"78",7.706,3.378,3.293,6.384,8.368,2.761
"79",0.514,5.69,2.056,3.581,15.587,1.886
"80",1.409,5.87,0.094,1.886,14.966,-3.308
"81",1.933,3.36,0.758,6.84,10.649,-3.551
"82",4.881,4.796,1.354,3.919,12.688,2.948
"83",3.988,5.486,2.877,5.625,14.719,2.166
"84",4.652,5.373,0.759,6.82,14.541,4.513
"85",3.503,5.082,1.146,4.686,14.098,-5.337
"86",3.425,5.811,0.558,0,13.488,8.731
"87",5.315,5.927,1.188,5.334,15.835,-7.355
"88",5.208,3.671,0.206,3.822,11.092,4.847
"89",5.431,5.67,2.065,0.946,12.979,-1.954
"90",2.173,5.884,0.013,4.298,14.475,5.632
"91",1.048,4.882,1.138,6.074,12.75,-5.467
"92",1.015,5.318,0.012,3.514,13.422,4.595
"93",4.826,3.304,0.234,5.962,9.199,6.275
"94",2.048,4.949,0.254,6.582,12.845,2.844
"95",10.445,4.23,0.571,6.609,12.136,2.481
"96",2.18,4.078,1.917,4.657,12.488,3.706
"97",3.12,4.051,0.226,6.731,11.332,9.013
"98",7.08,5.128,1.088,3.298,12.312,4.488
"99",3.839,5.232,0.81,5.358,12.011,8.962
"100",4.649,4.745,0.42,4.952,12.899,11.192
