"";"before";"after"
"1";61;66
"2";54;56
"3";51;52
"4";48;41
"5";56;59
"6";62;57
"7";55;60
"8";50;46
"9";54;49
"10";57;64
"11";59;61
"12";51;44
"13";49;51
"14";54;53
"15";58;55
"16";53;50
"17";52;50
"18";57;54
"19";59;63
"20";51;49
"21";58;62
"22";52;53
"23";58;70
"24";54;54
"25";61;60
"26";61;55
"27";53;47
"28";49;46
"29";53;53
"30";52;45
"31";57;52
"32";53;52
"33";48;52
"34";59;50
"35";49;48
"36";47;44
"37";60;54
"38";52;62
"39";56;51
"40";50;47
"41";54;56
"42";52;43
"43";55;51
"44";55;59
"45";55;56
"46";57;58
"47";46;49
"48";55;49
"49";59;53
"50";55;60
"51";57;58
"52";56;57
"53";53;49
"54";51;54
"55";58;54
"56";51;54
"57";60;67
"58";58;59
"59";58;52
"60";56;53
"61";60;55
"62";54;51
"63";62;60
"64";56;52
"65";57;49
"66";56;57
"67";55;49
"68";59;56
"69";62;55
"70";53;60
"71";62;60
"72";56;57
"73";51;40
"74";49;49
"75";50;48
"76";52;60
"77";56;57
"78";53;47
"79";56;64
"80";52;54
